Pais;Score;Rank;Income;RankIncome;Region;RankRegion;i2010;i2009
Switzerland;63.82;1;HI;1;ECS;1;4;7
Sweden;62.12;2;HI;2;ECS;2;2;3
Singapore;59.64;3;HI;3;EAS;1;7;5
HongKong;58.80;4;HI;4;EAS;2;3;12
Finland;57.50;5;HI;5;ECS;3;6;13
Denmark;56.96;6;HI;6;ECS;4;5;8
UnitedStatesofAmerica;56.57;7;HI;7;NAC;1;11;1
Canada;56.33;8;HI;8;NAC;2;12;11
Netherlands;56.31;9;HI;9;ECS;5;8;10
UnitedKingdom;55.96;10;HI;10;ECS;6;14;4
Iceland;55.10;11;HI;11;ECS;7;1;20
Germany;54.89;12;HI;12;ECS;8;16;2
Ireland;54.10;13;HI;13;ECS;9;19;21
Israel;54.03;14;HI;14;MEA;1;23;23
NewZealand;53.79;15;HI;15;EAS;3;9;27
Korea;53.68;16;HI;16;EAS;4;20;6
Luxembourg;52.65;17;HI;17;ECS;10;15;17
Norway;52.60;18;HI;18;ECS;11;10;14
Austria;50.75;19;HI;19;ECS;12;21;15
Japan;50.32;20;HI;20;EAS;5;13;9
Australia;49.85;21;HI;21;EAS;6;18;22
France;49.25;22;HI;22;ECS;13;22;19
Estonia;49.18;23;HI;23;ECS;14;29;29
Belgium;49.05;24;HI;24;ECS;15;17;18
Hungary;48.12;25;HI;25;ECS;16;36;47
Qatar;47.74;26;HI;26;MEA;2;35;24
CzechRepublic;47.30;27;HI;27;ECS;17;27;33
Cyprus;46.45;28;HI;28;ECS;18;32;45
China;46.43;29;LM;1;EAS;7;43;37
Slovenia;45.07;30;HI;29;ECS;19;26;36
Malaysia;44.05;31;UM;1;EAS;8;28;25
Spain;43.81;32;HI;30;ECS;20;30;28
Portugal;42.40;33;HI;31;ECS;21;34;40
UnitedArabEmirates;41.99;34;HI;32;MEA;3;24;26
Italy;40.69;35;HI;33;ECS;22;38;31
Latvia;39.80;36;HI;34;ECS;23;44;60
Slovakia;39.05;37;HI;35;ECS;24;37;35
Chile;38.84;38;UM;2;LCN;1;42;39
Moldova;38.66;39;LM;2;ECS;25;n/a;116
Lithuania;38.49;40;UM;3;ECS;26;39;42
Jordan;38.43;41;LM;3;MEA;4;58;55
Bulgaria;38.42;42;UM;4;ECS;27;49;74
Poland;38.02;43;HI;36;ECS;28;47;56
Croatia;37.98;44;HI;37;ECS;29;45;62
CostaRica;37.91;45;UM;5;LCN;2;41;48
Bahrain;37.80;46;HI;38;MEA;5;40;34
Brazil;37.75;47;UM;6;LCN;3;68;50
Thailand;37.63;48;LM;4;EAS;9;60;44
Lebanon;37.11;49;UM;7;MEA;6;n/a;n/a
Romania;36.83;50;UM;8;ECS;30;52;69
VietNam;36.71;51;LM;5;EAS;10;71;64
Kuwait;36.64;52;HI;39;MEA;7;33;30
