Pais;Score;Rank;Income;RankIncome;Region;RankRegion
Switzerland;66.08;1;HI;1;EUR;1
Sweden;62.47;2;HI;2;EUR;2
UnitedStatesofAmerica;60.56;3;HI;3;NAC;1
UnitedKingdom;59.78;4;HI;4;EUR;3
Netherlands;58.76;5;HI;5;EUR;4
Denmark;57.53;6;HI;6;EUR;5
Finland;57.02;7;HI;7;EUR;6
Singapore;56.61;8;HI;8;SEAO;1
Germany;56.55;9;HI;9;EUR;7
Korea;56.11;10;HI;10;SEAO;2
HongKong;54.24;11;HI;11;SEAO;3
France;53.66;12;HI;12;EUR;8
Israel;53.55;13;HI;13;NAWA;1
China;53.28;14;UM;1;SEAO;4
Ireland;53.05;15;HI;14;EUR;9
Japan;52.70;16;HI;15;SEAO;5
Canada;52.26;17;HI;16;NAC;2
Luxembourg;50.84;18;HI;17;EUR;10
Austria;50.13;19;HI;18;EUR;11
Norway;49.29;20;HI;19;EUR;12
Iceland;49.23;21;HI;20;EUR;13
Belgium;49.13;22;HI;21;EUR;14
Australia;48.35;23;HI;22;SEAO;6
CzechRepublic;48.34;24;HI;23;EUR;15
Estonia;48.28;25;HI;24;EUR;16
NewZealand;47.01;26;HI;25;SEAO;7
Malta;46.39;27;HI;26;EUR;17
Italy;45.74;28;HI;27;EUR;18
Cyprus;45.67;29;HI;28;NAWA;2
Spain;45.60;30;HI;29;EUR;19
Portugal;43.51;31;HI;30;EUR;20
Slovenia;42.91;32;HI;31;EUR;21
Malaysia;42.42;33;UM;2;SEAO;8
UnitedArabEmirates;41.79;34;HI;32;NAWA;3
Hungary;41.53;35;HI;33;EUR;22
Latvia;41.11;36;HI;34;EUR;23
Bulgaria;39.98;37;UM;3;EUR;24
Poland;39.95;38;HI;35;EUR;25
Slovakia;39.70;39;HI;36;EUR;26
Lithuania;39.18;40;HI;37;EUR;27
Croatia;37.27;41;HI;38;EUR;28
VietNam;37.12;42;LM;1;SEAO;9
Greece;36.79;43;HI;39;EUR;29
Thailand;36.68;44;UM;4;SEAO;10
Ukraine;36.32;45;LM;2;EUR;30
Romania;35.95;46;UM;5;EUR;31
Russia;35.63;47;UM;6;EUR;32
India;35.59;48;LM;3;CSA;1
Montenegro;35.39;49;UM;7;EUR;33
Philippines;35.19;50;LM;4;SEAO;11
Turkey;34.90;51;UM;8;NAWA;4
Mauritius;34.35;52;UM;9;SSF;1
Serbia;34.33;53;UM;10;EUR;34
Chile;33.86;54;HI;40;LCN;1
Mexico;33.60;55;UM;11;LCN;2
CostaRica;33.51;56;UM;12;LCN;3
NorthMacedonia;33.43;57;UM;13;EUR;35
Mongolia;33.41;58;LM;5;SEAO;12
RepublicofMoldova;32.98;59;LM;6;EUR;36
SouthAfrica;32.67;60;UM;14;SSF;2
Armenia;32.64;61;UM;15;NAWA;5
Brazil;31.94;62;UM;16;LCN;4
Georgia;31.78;63;UM;17;NAWA;6
Belarus;31.27;64;UM;18;EUR;37
Tunisia;31.21;65;LM;7;NAWA;7
SaudiArabia;30.94;66;HI;41;NAWA;8
Iran(IslamicRepublicof);30.89;67;UM;19;CSA;2
Colombia;30.84;68;UM;20;LCN;5
Uruguay;30.84;69;HI;42;LCN;6
Qatar;30.81;70;HI;43;NAWA;9
BruneiDarussalam;29.82;71;HI;44;SEAO;13
Jamaica;29.10;72;UM;21;LCN;7
Panama;29.04;73;HI;45;LCN;8
BosniaandHerzegovina;28.99;74;UM;22;EUR;38
Morocco;28.97;75;LM;8;NAWA;10
Peru;28.79;76;UM;23;LCN;9
Kazakhstan;28.56;77;UM;24;CSA;3
Kuwait;28.40;78;HI;46;NAWA;11
Bahrain;28.37;79;HI;47;NAWA;12
Argentina;28.33;80;UM;25;LCN;10
Jordan;27.79;81;UM;26;NAWA;13
Azerbaijan;27.23;82;UM;27;NAWA;14
Albania;27.12;83;UM;28;EUR;39
Oman;26.50;84;HI;48;NAWA;15
Indonesia;26.49;85;LM;9;SEAO;14
Kenya;26.13;86;LM;10;SSF;3
Lebanon;26.02;87;UM;29;NAWA;16
UnitedRepublicofTanzania;25.57;88;LI;1;SSF;4
Botswana;25.43;89;UM;30;SSF;5
DominicanRepublic;25.10;90;UM;31;LCN;11
Rwanda;25.06;91;LI;2;SSF;6
ElSalvador;24.85;92;LM;11;LCN;12
Uzbekistan;24.54;93;LM;12;CSA;4
Kyrgyzstan;24.51;94;LM;13;CSA;5
Nepal;24.35;95;LI;3;CSA;6
Egypt;24.23;96;LM;14;NAWA;17
Paraguay;24.14;97;UM;32;LCN;13
TrinidadandTobago;24.14;98;HI;49;LCN;14
Ecuador;24.11;99;UM;33;LCN;15
CaboVerde;23.86;100;LM;15;SSF;7
SriLanka;23.78;101;UM;34;CSA;7
Senegal;23.75;102;LM;16;SSF;8
Honduras;22.95;103;LM;17;LCN;16
Namibia;22.51;104;UM;35;SSF;9
Bolivia;22.41;105;LM;18;LCN;17
Guatemala;22.35;106;UM;36;LCN;18
Pakistan;22.31;107;LM;19;CSA;8
Ghana;22.28;108;LM;20;SSF;10
Tajikistan;22.23;109;LI;4;CSA;9
Cambodia;21.46;110;LM;21;SEAO;15
Malawi;21.44;111;LI;5;SSF;11
CôtedIvoire;21.24;112;LM;22;SSF;12
Lao;20.65;113;LM;23;SEAO;16
Uganda;20.54;114;LI;6;SSF;13
Madagascar;20.40;115;LI;7;SSF;14
Bangladesh;20.39;116;LM;24;CSA;10
Nigeria;20.13;117;LM;25;SSF;15
BurkinaFaso;20.00;118;LI;8;SSF;16
Cameroon;19.98;119;LM;26;SSF;17
Zimbabwe;19.97;120;LM;27;SSF;18
Algeria;19.48;121;UM;37;NAWA;18
Zambia;19.39;122;LM;28;SSF;19
Mali;19.15;123;LI;9;SSF;20
Mozambique;18.70;124;LI;10;SSF;21
Togo;18.54;125;LI;11;SSF;22
Benin;18.13;126;LI;12;SSF;23
Ethiopia;18.06;127;LI;13;SSF;24
Niger;17.82;128;LI;14;SSF;25
Myanmar;17.74;129;LM;29;SEAO;17
Guinea;17.32;130;LI;15;SSF;26
Yemen;13.56;131;LI;16;NAWA;19
