mês;quantidade
01/2013;225
02/2013;297
03/2013;204
04/2013;317
05/2013;209
06/2013;293
07/2013;352
08/2013;184
09/2013;348
10/2013;224
11/2013;282
12/2013;390
01/2014;213
02/2014;278
03/2014;229
04/2014;339
05/2014;128
06/2014;135
07/2014;240
08/2014;282
09/2014;381
10/2014;286
11/2014;219
12/2014;392 
01/2015;193
02/2015;157
03/2015;182
04/2015;185
05/2015;188
06/2015;487
07/2015;430
08/2015;496
09/2015;448
10/2015;309
11/2015;345
12/2015;475
01/2016;303
02/2016;297
03/2016;582
04/2016;362
05/2016;488
06/2016;359
07/2016;430
08/2016;316
09/2016;324
10/2016;337
11/2016;475
12/2016;498
01/2017;356
02/2017;452
03/2017;642
04/2017;484
05/2017;652
06/2017;578
07/2017;514
08/2017;557
09/2017;432
10/2017;426
11/2017;489
12/2017;668
01/2018;863
02/2018;1186
03/2018;763
04/2018;811
05/2018;1138
06/2018;988
07/2018;985
08/2018;741
09/2018;641
10/2018;1098
11/2018;948
12/2018;928
