mês;quantidade
01/2013;2502
02/2013;2519
03/2013;2746
04/2013;3050
05/2013;2789
06/2013;3352
07/2013;2661
08/2013;2745
09/2013;2968
10/2013;2883
11/2013;2752
12/2013;3083
01/2014;2617
02/2014;2481
03/2014;2793
04/2014;2783
05/2014;2694
06/2014;3036
07/2014;2707
08/2014;2557
09/2014;2884
10/2014;2893
11/2014;2581
12/2014;3156 
01/2015;2297
02/2015;2273
03/2015;2774
04/2015;2660
05/2015;2725
06/2015;3197
07/2015;2574
08/2015;2642
09/2015;4001
10/2015;2484
11/2015;2459
12/2015;2957
01/2016;2203
02/2016;2372
03/2016;2680
04/2016;2567
05/2016;2633
06/2016;3027
07/2016;2304
08/2016;2430
09/2016;2685
10/2016;2603
11/2016;2702
12/2016;2814
01/2017;2124
02/2017;1983
03/2017;2686
04/2017;2303
05/2017;2505
06/2017;2794
07/2017;2118
08/2017;2292
09/2017;2304
10/2017;2480
11/2017;2312
12/2017;2766
01/2018;2197 	 
02/2018;1923
03/2018;2492
04/2018;2240
05/2018;2346 
06/2018;2376
07/2018;2161
08/2018;1710
09/2018;2727
10/2018;2351
11/2018;2473
12/2018;2555
