id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
1	univ estadual da paraiba	<table><tr><td>UNIV ESTADUAL DA PARAIBA</td></tr><tr><td>Peso: 20</td></tr></table>	-0.1918	-0.4253	1	20	20	20	1
2	fund de ..tado de minas gerais	<table><tr><td>FUND DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3155	-0.4746	1	1	1	1	1
3	univ federal ouro preto	<table><tr><td>UNIV FEDERAL OURO PRETO</td></tr><tr><td>Peso: 1</td></tr></table>	-0.9349	0.6393	1	1	1	1	1
4	univ fed sao joao del rei	<table><tr><td>UNIV FED SAO JOAO DEL REI</td></tr><tr><td>Peso: 1</td></tr></table>	0.4161	0.2651	1	1	1	1	1
5	univ federal paraiba	<table><tr><td>UNIV FEDERAL PARAIBA</td></tr><tr><td>Peso: 9</td></tr></table>	0.2008	-0.3213	1	9	9	9	1
6	univ estadual da paraíba	<table><tr><td>UNIV ESTADUAL DA PARAÍBA</td></tr><tr><td>Peso: 1</td></tr></table>	0.453	-0.7817	1	1	1	1	1
7	univ pernambuco federal	<table><tr><td>UNIV PERNAMBUCO FEDERAL</td></tr><tr><td>Peso: 8</td></tr></table>	0.7311	0.1653	1	8	8	8	1
8	univ federal da paraiba ufpb	<table><tr><td>UNIV FEDERAL DA PARAIBA UFPB</td></tr><tr><td>Peso: 1</td></tr></table>	0.2961	0.7256	1	1	1	1	1
9	unicamp	<table><tr><td>UNICAMP</td></tr><tr><td>Peso: 3</td></tr></table>	-0.0228	-0.0174	1	3	3	3	1
10	univ de pernambuco	<table><tr><td>UNIV DE PERNAMBUCO</td></tr><tr><td>Peso: 3</td></tr></table>	0.8829	-0.9993	1	3	3	3	1
11	univ federal bahia	<table><tr><td>UNIV FEDERAL BAHIA</td></tr><tr><td>Peso: 1</td></tr></table>	-0.828	-0.7555	1	1	1	1	1
12	univ federal do piaui	<table><tr><td>UNIV FEDERAL DO PIAUI</td></tr><tr><td>Peso: 1</td></tr></table>	-0.7336	0.8297	1	1	1	1	1
13	univ estadual da paraiba uepb	<table><tr><td>UNIV ESTADUAL DA PARAIBA UEPB</td></tr><tr><td>Peso: 1</td></tr></table>	0.2983	-0.4468	1	1	1	1	1
14	univ fed do piaui	<table><tr><td>UNIV FED DO PIAUI</td></tr><tr><td>Peso: 1</td></tr></table>	-0.3975	-0.6259	1	1	1	1	1
15	univ fed pernambuco	<table><tr><td>UNIV FED PERNAMBUCO</td></tr><tr><td>Peso: 1</td></tr></table>	-0.7046	0.0005	1	1	1	1	1
16	univ fed..de campina grande pb	<table><tr><td>UNIV FEDERAL DE CAMPINA GRANDE PB</td></tr><tr><td>Peso: 1</td></tr></table>	0.3975	0.243	1	1	1	1	1
17	univ est.. de feira de santana	<table><tr><td>UNIV ESTADUAL DE FEIRA DE SANTANA</td></tr><tr><td>Peso: 1</td></tr></table>	-0.95	0.1394	1	1	1	1	1
18	univ federal rio grande norte	<table><tr><td>UNIV FEDERAL RIO GRANDE NORTE</td></tr><tr><td>Peso: 3</td></tr></table>	-0.6778	0.6303	1	3	3	3	1
19	univ fed.. rural de pernambuco	<table><tr><td>UNIV FEDERAL RURAL DE PERNAMBUCO</td></tr><tr><td>Peso: 1</td></tr></table>	0.9103	-0.3381	1	1	1	1	1
20	univ estadual da paraíba uepb	<table><tr><td>UNIV ESTADUAL DA PARAÍBA UEPB</td></tr><tr><td>Peso: 1</td></tr></table>	-0.0576	0.9623	1	1	1	1	1
21	univ fed de pernambuco ufpe	<table><tr><td>UNIV FED DE PERNAMBUCO UFPE</td></tr><tr><td>Peso: 2</td></tr></table>	0.646	0.3209	1	2	2	2	1
22	univ federal sergipe	<table><tr><td>UNIV FEDERAL SERGIPE</td></tr><tr><td>Peso: 1</td></tr></table>	0.6903	-0.8604	1	1	1	1	1
23	univ fed..ale do são francisco	<table><tr><td>UNIV FED DO VALE DO SÃO FRANCISCO</td></tr><tr><td>Peso: 1</td></tr></table>	0.081	0.8856	1	1	1	1	1
