Year of Application or Grant;Utility Patent Applications U.S. Origin;Utility Patent Applications Foreign Origin;Utility Patent Applications Foreign Origin Percent Share;Utility Patent Applications All Origin Total;Design Patent Applications;Plant Patent Applications;Total Patent Applications; Utility Patent Grants U.S. Origin;Utility Patent Grants Foreign Origin;Utility Patent Grants Foreign Origin Percent Share;Utility Patent Grants All Origin Total;Design Patent Grants;Plant Patent Grants;Reissue Patent Grants;Total Patent Grants;Total Patent Grants Foreign Origin Percent Share;Year of Application or Grant
1963;66715;19154;23.3;85869;4968;145;90982;37174;8505;18.6;45679;2965;129;198;48971;18; 1963;
1964;67013;20579;23.5;87592;5259;120;92971;38410;8965;18.9;47375;2686;128;200;50389;18; 1964;
1965;72317;22312;23.6;94629;5413;108;100150;50331;12526;19.9;62857;3424;120;246;66647;19; 1965;
1966;66855;21670;24.5;88525;4853;104;93482;54634;13771;20.1;68405;3188;114;179;71886;20; 1966;
1967;61651;24046;28.0;85697;4744;103;90544;51273;14379;21.9;65652;3165;85;196;69098;21; 1967;
1968;67180;26291;28.1;93471;5171;95;98737;45781;13323;22.5;59104;3352;72;186;62714;22; 1968;
1969;68243;30507;30.9;98750;5496;111;104357;50394;17165;25.4;67559;3335;103;233;71230;25; 1969;
1970;72343;30832;29.9;103175;5996;188;109359;47072;17357;26.9;64429;3214;52;269;67964;26;1970;
1971;71089;33640;32.1;104729;6211;155;111095;55976;22341;28.5;78317;3156;71;246;81790;28;1971;
1972;65943;33355;33.6;99298;5867;135;105300;51518;23292;31.1;74810;2901;199;275;78185;30;1972;
1973;66935;37144;35.7;104079;5425;118;109622;51500;22643;30.5;74143;4033;132;314;78622;30;1973;
1974;64093;38445;37.5;102538;5318;155;108011;50645;25633;33.6;76278;4304;261;435;81278;33;1974;
1975;64445;36569;36.2;101014;6292;150;107456;46715;25285;35.1;72000;4282;150;378;76810;35; 1975;
1976;65050;37294;36.4;102344;7061;175;109580;44280;25946;36.9;70226;4564;176;422;75388;37; 1976;
1977;62863;38068;37.7;100931;7258;188;108377;41484;23785;36.4;65269;3929;173;410;69781;36;1977;
1978;61441;39475;39.1;100916;7538;194;108648;41255;24847;37.6;66102;3862;186;364;70514;37;1978;
1979;60535;39959;39.8;100494;7519;196;108209;30078;18776;38.4;48854;3119;131;309;52413;37;1979;
1980;62098;42231;40.5;104329;7830;220;112379;37355;24464;39.6;61819;3949;117;285;66170;38;1980;
1981;62404;44009;41.4;106413;7375;178;113966;39223;26548;40.4;65771;4745;183;365;71064;39;1981;
1982;63316;46309;42.2;109625;8174;188;117987;33896;23992;41.4;57888;4944;173;271;63276;40;1982;
1983;59390;44313;42.7;103703;8082;255;112040;32871;23989;42.2;56860;4563;197;362;61982;41;1983;
1984;61841;49443;44.4;111284;8739;253;120276;38367;28833;42.9;67200;4938;212;300;72650;42;1984;
1985;63874;53132;45.4;117006;9551;231;126788;39555;32106;44.8;71661;5066;242;276;77245;44;1985;
1986;65487;56946;46.5;122433;9912;320;132665;38126;32734;46.2;70860;5518;224;260;76862;45;1986;
1987;68315;59602;46.6;127917;11153;385;139455;43520;39432;47.5;82952;5959;229;245;89385;47;1987;
1988;75192;64633;46.2;139825;11289;377;151491;40497;37427;48.0;77924;5679;425;244;84272;47;1988;
1989;82370;70380;46.1;152750;12615;383;165748;50185;45352;47.5;95537;6092;587;317;102533;47;1989;
1990;90643;73915;44.9;164558;11288;418;176264;47391;42974;47.6;90365;8024;318;370;99077;47;1990;
1991;87955;76351;46.5;164306;13061;463;177830;51177;45334;47.0;96511;9569;353;263;106696;46;1991;
1992;92425;80650;46.6;173075;13078;354;186507;52253;45191;46.4;97444;9269;321;360;107394;45;1992;
